Timestamp,Email Address,Do you wish to participate,Are you social,Talkative,Forgetful,organized,Quick to anger,Heroic,Takes Things Personal,Poetic & Analytical,like to be alone,hard to motivate,likes comfort,Avoid crisis,Peacemaker,Thoughtful and reserved,Sometimes Anxious,Quick to judge,Demanding and agressive,fearful,devoted and compassionate,appears lazy,relaxed and peaceful,loves food,likes comfort,cheerful and easy going,quick in action,quiet and complacement,likes activities,loves people,innovative,truoble concretrating,delight in change,likes discussions,Enter User Name of your choice,Personality
4/26/2024 5:52:04,,Yes,sometimes,sometimes,sometimes,Yes,sometimes,sometimes,sometimes,Yes,Yes,No,Yes,sometimes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,sometimes,Yes,sometimes,Yes,sometimes,No,sometimes,,Sanguine
4/26/2024 9:06:57,,Yes,sometimes,Yes,Yes,Yes,No,No,sometimes,sometimes,Yes,sometimes,Yes,Yes,Yes,Yes,Yes,sometimes,No,No,sometimes,sometimes,sometimes,Yes,Yes,sometimes,No,Yes,sometimes,Yes,sometimes,No,sometimes,sometimes,,Sanguine
4/26/2024 9:48:57,,Yes,Yes,Yes,sometimes,sometimes,Yes,Yes,No,Yes,No,Yes,sometimes,No,No,No,No,Yes,Yes,sometimes,Yes,No,No,sometimes,No,No,Yes,sometimes,Yes,No,Yes,No,No,No,crage,Choleric
4/28/2024 20:16:12,,Yes,sometimes,sometimes,sometimes,Yes,sometimes,sometimes,Yes,No,Yes,No,Yes,sometimes,Yes,Yes,Yes,sometimes,No,Yes,Yes,No,Yes,sometimes,Yes,sometimes,sometimes,sometimes,sometimes,sometimes,Yes,No,Yes,Yes,Tar,Sanguine
5/6/2024 12:40,,Yes,Yes,sometimes,sometimes,Yes,No,sometimes,sometimes,sometimes,sometimes,No,sometimes,Yes,Yes,Yes,sometimes,No,No,No,Yes,No,sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Joram,Melancholic
5/6/2024 14:48,,Yes,sometimes,sometimes,Yes,Yes,Yes,sometimes,sometimes,Yes,sometimes,No,Yes,Yes,Yes,Yes,Yes,sometimes,No,sometimes,Yes,No,Yes,sometimes,Yes,Yes,sometimes,sometimes,Yes,Yes,sometimes,No,No,sometimes,Zanamwe ,Sanguine
5/6/2024 16:11,,Yes,sometimes,Yes,No,Yes,No,Yes,No,sometimes,No,sometimes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,sometimes,Yes,Yes,Yes,No,Yes,Yes,MAINODZA,Melancholic
5/6/2024 16:26,,Yes,sometimes,No,sometimes,sometimes,No,No,No,Yes,Yes,No,No,sometimes,Yes,Yes,sometimes,No,No,No,Yes,sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,sometimes,Yes,Yes,Tripoli,Phlegmatic
5/6/2024 16:35,,Yes,Yes,No,No,Yes,No,sometimes,No,sometimes,sometimes,No,sometimes,sometimes,Yes,sometimes,sometimes,No,No,sometimes,sometimes,No,Yes,Yes,Yes,sometimes,sometimes,Yes,Yes,Yes,sometimes,sometimes,sometimes,sometimes,Sir Elder,Phlegmatic
5/7/2024 10:51,,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,sometimes,Yes,Yes,Yes,Yes,sometimes,sometimes,sometimes,sometimes,sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,sometimes,Yes,Yes,Anold,Melancholic
5/7/2024 11:17,,Yes,sometimes,sometimes,No,Yes,No,No,sometimes,No,Yes,sometimes,Yes,Yes,Yes,Yes,Yes,No,No,sometimes,Yes,No,sometimes,Yes,Yes,sometimes,sometimes,Yes,Yes,Yes,sometimes,Yes,Yes,Yes,Kue,Melancholic
5/9/2024 11:51,,Yes,Yes,Yes,Yes,No,sometimes,No,No,No,No,No,Yes,Yes,Yes,sometimes,sometimes,No,No,sometimes,sometimes,Yes,Yes,Yes,Yes,Yes,sometimes,No,Yes,Yes,sometimes,Yes,sometimes,Yes,Me,Phlegmatic
